zip,rent,income,%income,affordable?
90046,5342,65990,0.971419912,No
90034,3149.375,65572,0.576351186,No
90026,3157.681818,54342,0.697290895,No
90066,4251.666667,75209,0.678376258,No
90019,#DIV/0!,50671,#DIV/0!,#DIV/0!
91342,2610,68600,0.456559767,No
90025,3803.5,78713,0.579853391,No
90731,2060,49464,0.499757399,No
91335,2684.875,55580,0.579677942,No
90036,4517.916667,74279,0.729883278,No
90042,2406.166667,55596,0.51935391,No
91367,2807.5,84937,0.396646927,No
90049,5636.625,121671,0.555921296,No
91406,2802.291667,51564,0.652150725,No
91405,2595.7,41283,0.75450912,No
91601,2626.681818,50832,0.620085415,No
91343,2661,61692,0.517603579,No
91304,2668.958333,64367,0.497576398,No
91344,2826.583333,86460,0.392308582,No
90291,6333.333333,88078,0.862871546,No
90065,3046.666667,58405,0.625973804,No
90292,4940.272727,103948,0.570316627,No
91401,#DIV/0!,51784,#DIV/0!,#DIV/0!
91604,4630.636364,99745,0.557096961,No
91306,2766.333333,64772,0.512505404,No
90035,3825.681818,76677,0.598721674,No
91311,2662.875,82738,0.386213106,No
90048,4750,85396,0.66747857,No
90012,2623.214286,38786,0.811596231,No
91326,3106.25,105611,0.352946189,No
90064,4268.5,92194,0.555589301,No
91316,2805.166667,68720,0.489842841,No
90039,3919.65,81394,0.577877976,No
91325,#DIV/0!,65129,#DIV/0!,#DIV/0!
91356,3222.5,71654,0.53967678,No
90015,2979.375,32979,1.084098972,No
91364,3868.5,100323,0.462725397,No
91602,3260.2,78526,0.49820951,No
90272,8740.625,180962,0.579610636,No
90732,2329.583333,89440,0.312555903,No
91307,3149.833333,111043,0.340390659,No
90293,3467.8,100042,0.415961296,No
90013,#DIV/0!,22808,#DIV/0!,#DIV/0!
91436,5313.125,159965,0.398571563,No
90077,#DIV/0!,184722,#DIV/0!,#DIV/0!